ingredient_id;ingredient_name;ingredient_search_term
383;abóbora em cubos;abóbora em cubos
384;sultana;sultana
385;arroz agulha;arroz agulha
386;de sobremesa azeite;de sobremesa azeite
387;espargos verdes fresco;espargos
388;legumes em tomate;legumes em tomate
389;amêijoa branca;amêijoa branca
390;q.b. manjericão fresco;q.b. manjericão
391;Molho pesto alla calabrese;molho pesto alla calabrese
392;+ 1 c. de sopa azeite virgem extra;+ 1 c. de sopa azeite
393;batata para cozer;batata para cozer
394;iogurte grego;iogurte grego
395;queijo feta;queijo feta
396;iogurte grego natural;iogurte grego natural
397;pimento vermelho assado;pimento vermelho assado
398;malagueta em pó;malagueta
399;molho (50 g) coentros frescos;molho coentros
400;haste salsa fresca;haste salsa fresca
401;cominhos;cominhos
402;malagueta vermelha picada;malagueta vermelha picada
403;vinagre de vinho tinto;vinagre de vinho tinto
404;abacate;abacate
405;unid (2 x 200 g) entrecôte;unid entrecôte
406;kiwi;kiwi
407;kiwi amarelo;kiwi amarelo
408;molho hortelã fresca;molho hortelã fresca
409;rum;rum
410;refrigerante com gás lima limão;refrigerante com gás lima limão
411;lata (390 g) tomate em pedaços;lata tomate em pedaços
412;mexilhão fresco;mexilhão
413;pêssego;pêssego
414;melancia;melancia
415;manga;manga
416;licor Cointreau;licor cointreau
417;refrigerante com gás lima-limão;refrigerante com gás lima-limão
418;pau de canela;pau de canela
419;garrafa (75 cl) vinho rosé;garrafa vinho rosé
420;iogurte;iogurte
421;mini pepino;mini pepino
422;de sobremesa azeite virgem extra;de sobremesa azeite
423;saqueta chá de hibisco;saqueta chá de hibisco
424;de sobremesa mel;de sobremesa mel
425;kombucha;kombucha
426;lima (sumo);lima
427;cháv. bebida de soja;cháv. bebida de soja
428;maçã pequena;maçã pequena
429;cháv. flocos de aveia finos;cháv. flocos de aveia finos
430;cháv. flocos de aveia grossos;cháv. flocos de aveia grossos
431;cháv. açúcar de coco;cháv. açúcar de coco
432;fermento em pó;fermento
433;cardamomo;cardamomo
434;linhaça moída;linhaça moída
435;limão (raspa e sumo);limão
436;cháv. uva passa;cháv. uva passa
